time_step,bearing_temp,engine_speed,engine_load,lub_oil_inlet_temp,lub_oil_pressure,axial_vibration,engine_st_aft_brg_temp1,engine_intermed_shaft_brg_temp,cooling_water_temp,engine_air_temp,status,draft_fore,draft_aft,vs,relative_wind_speed,energy_efficiency_index,rudder_angle,depth
0.000624,0.729402,0.916763,0.597341,0.735258,0.943888,0.830926,0.772992,0.786492,0.878460,0.843478,1.000000,0.008310,0.051933,0.922877,0.313687,0.871473,0.519980,0.227996
0.000636,0.726929,0.917704,0.588340,0.736330,0.945440,0.832029,0.774625,0.790661,0.879724,0.840222,1.000000,0.011868,0.047781,0.923597,0.305782,0.871787,0.498994,0.232754
0.000647,0.728544,0.917493,0.587982,0.729356,0.943588,0.828726,0.777923,0.790498,0.873930,0.840184,0.999005,0.008137,0.051004,0.921522,0.304558,0.871984,0.511041,0.235711
0.000659,0.729359,0.916483,0.592308,0.730297,0.945596,0.829508,0.777038,0.790001,0.869140,0.841413,0.999130,0.010458,0.047118,0.917372,0.319312,0.872869,0.511484,0.240598
0.000671,0.731158,0.916597,0.595135,0.729487,0.943097,0.833906,0.779753,0.791546,0.871943,0.840060,1.000000,0.009117,0.048296,0.919087,0.307482,0.873702,0.508674,0.243564
0.000683,0.729731,0.917476,0.598935,0.730054,0.945243,0.832433,0.778103,0.791501,0.876339,0.842985,0.998019,0.009709,0.048263,0.917843,0.323696,0.872234,0.508899,0.245714
0.000695,0.728929,0.918070,0.596096,0.736678,0.945781,0.831357,0.778988,0.798184,0.880694,0.845955,1.000000,0.010606,0.046749,0.916319,0.303235,0.873750,0.504566,0.251113
0.000706,0.727458,0.917549,0.587319,0.746746,0.943732,0.829082,0.778142,0.791230,0.885868,0.844834,1.000000,0.007969,0.049532,0.915004,0.317995,0.871717,0.503489,0.254480
0.000718,0.729868,0.918235,0.587704,0.744601,0.945024,0.829937,0.778463,0.791081,0.888716,0.844855,0.999069,0.009349,0.049034,0.916555,0.308862,0.873861,0.515321,0.256562
0.000730,0.728429,0.915002,0.590607,0.745024,0.943905,0.831993,0.779283,0.796749,0.887822,0.847558,0.998532,0.011717,0.042194,0.914309,0.302886,0.874321,0.515651,0.262654
0.000742,0.727409,0.918235,0.596034,0.744120,0.945625,0.830403,0.780322,0.801545,0.886087,0.847592,1.000000,0.008753,0.044903,0.911580,0.318690,0.875222,0.509828,0.264192
0.000753,0.729829,0.913192,0.594098,0.745742,0.944890,0.834354,0.780885,0.800482,0.886350,0.848797,0.998965,0.009348,0.049736,0.911235,0.307482,0.872089,0.498892,0.270217
0.000765,0.731556,0.917430,0.582079,0.744250,0.944024,0.833040,0.783827,0.799897,0.886427,0.850982,0.999531,0.008788,0.046709,0.910773,0.301034,0.874452,0.509531,0.271815
0.000777,0.729558,0.917387,0.585982,0.746137,0.945396,0.827235,0.782052,0.799501,0.893626,0.850000,1.000000,0.005626,0.048163,0.905132,0.261900,0.873523,0.519956,0.273975
0.000789,0.735474,0.916195,0.591850,0.752030,0.943886,0.829463,0.783449,0.801527,0.892829,0.849204,0.998373,0.010338,0.046992,0.909303,0.296733,0.872394,0.518912,0.277090
0.000800,0.734578,0.915640,0.596405,0.757620,0.943451,0.831830,0.784098,0.800641,0.893722,0.849422,0.998921,0.006852,0.045388,0.908560,0.287482,0.872137,0.516489,0.280350
0.000812,0.735270,0.916270,0.597145,0.760763,0.945407,0.829745,0.784038,0.801524,0.892368,0.849947,0.999020,0.008895,0.044966,0.906178,0.274996,0.874848,0.510095,0.286927
0.000824,0.736101,0.917870,0.595833,0.761803,0.943146,0.828698,0.784706,0.802152,0.890653,0.849064,0.999528,0.008096,0.043847,0.910365,0.271774,0.873135,0.510015,0.290027
0.000836,0.735105,0.917068,0.593759,0.761719,0.945732,0.827789,0.784343,0.808877,0.893890,0.850471,0.998375,0.007646,0.046694,0.910129,0.286437,0.873125,0.510575,0.293016
0.000848,0.736038,0.916743,0.593595,0.760597,0.946036,0.830665,0.783062,0.808188,0.896713,0.850556,1.000000,0.007013,0.043677,0.910837,0.280288,0.872735,0.513128,0.296510
0.000859,0.737306,0.916378,0.592105,0.761149,0.944348,0.833035,0.789184,0.809276,0.891523,0.848194,0.998545,0.007256,0.044837,0.912805,0.270480,0.874764,0.514855,0.300011
0.000871,0.734367,0.916994,0.592793,0.760248,0.947079,0.830881,0.789750,0.810677,0.892164,0.848557,0.998708,0.006915,0.045117,0.912682,0.279758,0.873731,0.516528,0.303011
0.000883,0.737584,0.916982,0.592385,0.760736,0.945969,0.831957,0.788838,0.808779,0.892796,0.845022,1.000000,0.007149,0.045406,0.913784,0.277235,0.872672,0.514473,0.306954
0.000895,0.738984,0.916154,0.593500,0.774721,0.945156,0.827540,0.790511,0.808597,0.897119,0.844483,1.000000,0.010277,0.042538,0.914075,0.287062,0.872297,0.516118,0.308224
0.000906,0.734756,0.917697,0.595057,0.760618,0.944729,0.831244,0.793999,0.812855,0.892983,0.845280,1.000000,0.006707,0.046221,0.914749,0.281179,0.873511,0.515540,0.313571
0.000918,0.737276,0.919554,0.595261,0.764008,0.946011,0.830072,0.788963,0.819185,0.892726,0.845181,0.999333,0.006669,0.042570,0.914607,0.302914,0.873392,0.514671,0.314961
0.000930,0.741598,0.914207,0.595262,0.777143,0.944203,0.831046,0.793471,0.817073,0.890640,0.845123,1.000000,0.008610,0.041839,0.914297,0.295958,0.874436,0.515079,0.321019
0.000942,0.741017,0.916389,0.593017,0.778791,0.945767,0.833383,0.792672,0.818645,0.892199,0.848084,0.999961,0.006405,0.040734,0.914162,0.322192,0.873623,0.522619,0.323147
0.000954,0.741977,0.917248,0.591906,0.779067,0.945700,0.831797,0.796225,0.818630,0.885481,0.848462,0.998823,0.006006,0.044602,0.916718,0.312461,0.873034,0.525346,0.325686
0.000965,0.741176,0.918251,0.588043,0.774980,0.944981,0.830185,0.795607,0.820135,0.879976,0.847940,1.000000,0.007510,0.044251,0.914737,0.311589,0.872691,0.511462,0.328227
0.000977,0.740883,0.916281,0.589270,0.760625,0.944044,0.828877,0.795724,0.818651,0.868294,0.850469,0.999715,0.007430,0.043923,0.914796,0.320995,0.874065,0.518227,0.334181
0.000989,0.742216,0.915156,0.591674,0.761074,0.944313,0.830960,0.794806,0.818223,0.860758,0.848853,1.000000,0.005393,0.042786,0.913558,0.328571,0.875397,0.513641,0.336343
0.001001,0.743933,0.915145,0.590785,0.761696,0.946702,0.829952,0.796420,0.827073,0.850286,0.851278,1.000000,0.006456,0.044106,0.914153,0.331127,0.874081,0.511027,0.340318
0.001012,0.740449,0.916799,0.591189,0.749445,0.944836,0.826745,0.795111,0.826127,0.842394,0.855014,1.000000,0.007417,0.045794,0.915192,0.335140,0.874722,0.513714,0.343540
0.001024,0.741890,0.916360,0.592059,0.745845,0.945823,0.828411,0.797876,0.827216,0.839897,0.855559,1.000000,0.007805,0.045711,0.911158,0.330913,0.874486,0.511055,0.349782
0.001036,0.743027,0.916643,0.592424,0.745056,0.944267,0.824658,0.795701,0.827019,0.830127,0.856927,1.000000,0.005735,0.048531,0.911256,0.343748,0.873603,0.513827,0.358349
0.001048,0.742003,0.919667,0.592397,0.735097,0.945460,0.825109,0.800207,0.818800,0.825570,0.860388,0.998652,0.003537,0.044011,0.908831,0.355009,0.875226,0.509400,0.353150
0.001059,0.742637,0.913596,0.592184,0.728908,0.945571,0.825764,0.800690,0.822302,0.824205,0.857984,1.000000,0.008075,0.045718,0.913232,0.339622,0.875454,0.505981,0.309092
0.001071,0.740601,0.917215,0.596149,0.727034,0.943281,0.826811,0.801534,0.819413,0.821988,0.854801,0.999245,0.010436,0.042386,0.907818,0.354293,0.875451,0.505247,0.297456
0.001083,0.741750,0.916236,0.590516,0.729584,0.946510,0.828667,0.800851,0.820666,0.820783,0.852885,0.999931,0.010914,0.047500,0.908931,0.351874,0.875345,0.497905,0.372558
