step,Df,Da,EeIndex8,Rudder,TrueVwr,Me1Sw_com_temp,Me1Nms,Me1Load,Me1Main_brg_lo_in_press,Me1Axial_vib,Me1Main_brg_lo_in_temp,Me1Thrust_bearing_pad_temp
194,0.106574,0.944370,0.850371,0.522476,0.389282,0.706357,0.924890,0.744568,0.344828,0.890101,0.581020,0.774648
195,0.111554,0.951491,0.850338,0.522934,0.399825,0.706357,0.924933,0.739099,0.482759,0.888542,0.581020,0.774648
196,0.107570,0.971963,0.850123,0.519241,0.418525,0.706357,0.924506,0.743560,0.482759,0.890881,0.581020,0.774648
197,0.102590,0.966622,0.849908,0.531280,0.374116,0.706357,0.926497,0.737876,0.344828,0.890101,0.581020,0.774648
198,0.108566,0.962617,0.850387,0.520887,0.385808,0.706357,0.924080,0.736221,0.413793,0.883087,0.581020,0.777606
199,0.110558,0.966622,0.850057,0.527558,0.374841,0.706357,0.925928,0.742769,0.379310,0.891660,0.581020,0.781690
200,0.108566,0.971073,0.850206,0.515705,0.358377,0.706357,0.926070,0.730825,0.344828,0.886204,0.581020,0.781690
201,0.105578,0.967512,0.850437,0.524137,0.345055,0.706357,0.924791,0.740754,0.344828,0.885425,0.582742,0.781690
202,0.097610,0.953716,0.850338,0.515304,0.386261,0.706357,0.925928,0.735214,0.344828,0.885425,0.587045,0.781690
203,0.099602,0.951046,0.850619,0.531953,0.457284,0.706357,0.925217,0.737516,0.344828,0.880748,0.601463,0.781690
204,0.097610,0.963507,0.850933,0.514516,0.433629,0.682812,0.927350,0.731040,0.344828,0.883087,0.602539,0.785423
205,0.103088,0.957276,0.851610,0.517709,0.419612,0.672721,0.930051,0.740322,0.344828,0.883866,0.594577,0.781690
206,0.113048,0.971963,0.852321,0.528661,0.431001,0.672721,0.929098,0.754065,0.344828,0.890881,0.591134,0.788380
207,0.097112,0.978638,0.852271,0.506227,0.478551,0.672721,0.930435,0.750899,0.344828,0.895557,0.581020,0.788732
208,0.091633,0.948376,0.852734,0.492112,0.486647,0.672721,0.932283,0.752626,0.344828,0.890101,0.581020,0.788732
209,0.090637,0.950601,0.853015,0.517494,0.471694,0.697275,0.932710,0.752842,0.448276,0.896337,0.581666,0.788732
210,0.108566,0.962172,0.853642,0.547787,0.510150,0.706357,0.931188,0.782990,0.551724,0.902572,0.602539,0.791338
211,0.112052,0.966622,0.854716,0.492069,0.500634,0.706357,0.939719,0.819111,0.586207,0.932970,0.602539,0.795070
212,0.102092,0.969737,0.855807,0.522218,0.497493,0.706357,0.944553,0.814434,0.689655,0.940764,0.607919,0.795775
213,0.104084,0.979973,0.855394,0.501231,0.506978,0.706357,0.941141,0.800259,0.689655,0.932970,0.624059,0.801549
214,0.099104,0.989319,0.855576,0.524223,0.471240,0.706357,0.943557,0.799252,0.689655,0.929072,0.624059,0.803521
215,0.080677,0.966622,0.856319,0.509549,0.465229,0.696939,0.946870,0.801914,0.689655,0.934528,0.624059,0.809859
216,0.083665,0.974188,0.856286,0.506041,0.515407,0.672721,0.948491,0.787667,0.689655,0.925955,0.645147,0.811620
217,0.104084,0.988429,0.856055,0.506929,0.550933,0.687857,0.944083,0.802633,0.689655,0.925955,0.645578,0.816901
